layout,task,demo_index,demo_key,steps,success_criterion,source_pkl
1,bowl_on_plate,0,demo_0,211,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,2,demo_2,230,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,3,demo_3,220,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,4,demo_4,200,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,5,demo_5,193,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,6,demo_6,221,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,8,demo_8,209,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,9,demo_9,215,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,10,demo_10,209,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,11,demo_11,211,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,12,demo_12,200,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,14,demo_14,225,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,15,demo_15,202,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,16,demo_16,199,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,17,demo_17,199,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,18,demo_18,200,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,19,demo_19,217,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,20,demo_20,192,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,21,demo_21,214,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,23,demo_23,219,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,24,demo_24,203,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,25,demo_25,194,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,26,demo_26,213,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
1,bowl_on_plate,27,demo_27,209,saved_final_success_or_saved_final_action_success,bowl_on_plate_1.pkl
