scenario_id,layout,episode_key,episode_index,source_artifact,source_artifact_sha256,source_pkl,source_pkl_sha256,model_xml,model_xml_sha256,initial_state_sha256,object_template_sha256
v1r_2k_trainfit_l1_demo_2,1,demo_2,0,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_002_attempt_002.npz,6421e6d42cd06b6c10378e5785b03fee6c804abd58d3c45da80248c5a58b4fd7,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_1.pkl,d6798e425b4362eb0e2e2b57aef74be02898ceb113b3815648462b571b1e579a,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_002_attempt_002.xml,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a,310d1f454c978a1b547be6fa517a01c7c2c10e0a321395761ca8cb6dd74537f7,93bf180f1d4b856c275c1d45f84c36c5e74b7e059411f6c2ad627b12ad166a04
v1r_2k_trainfit_l1_demo_3,1,demo_3,1,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_003_attempt_003.npz,bda96d65fe1d9eaf014b9a8ef851bb05fc010797156c88bedd6ceb8e1a700e27,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_1.pkl,d6798e425b4362eb0e2e2b57aef74be02898ceb113b3815648462b571b1e579a,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_003_attempt_003.xml,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a,43d7d4779dc52ac954334030a199098c9f0238a02a0ef72b62d4a18745c279ae,3457ac1eca72a617acd70714c04e96e746eb8905114c094c12c7c7a43680f6b9
v1r_2k_trainfit_l1_demo_18,1,demo_18,2,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_018_attempt_016.npz,74086f27ba8a324bcefe957734808c903a79ca195c067bab4e34507c18e92551,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_1.pkl,d6798e425b4362eb0e2e2b57aef74be02898ceb113b3815648462b571b1e579a,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_018_attempt_016.xml,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a,e706bdd60bb74246b9298350f09fde8af3357a28cf626ae13c8b3ccd8c4540a9,9614e685a651cf9ca694c653e245f4d79702cd642191670faae3513531ef5f67
v1r_2k_trainfit_l1_demo_21,1,demo_21,3,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_021_attempt_019.npz,bacde9b824b3ece62dbd304233ea9cd62d78aa50bf2d0d633b5abc6acfef8686,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_1.pkl,d6798e425b4362eb0e2e2b57aef74be02898ceb113b3815648462b571b1e579a,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_021_attempt_019.xml,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a,6ec12bb956254096791995964ab5c357235219670983fa608c33529c8852af55,a187a9fafe1dfa97ee7d8e145fc2ecfeca4708ec62add4c1548c0acb8bbc0e83
v1r_2k_trainfit_l1_demo_25,1,demo_25,4,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_025_attempt_022.npz,5692252e9992079acd76fde4823e195e395de80eea6460b061a697bc61bc23cd,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_1.pkl,d6798e425b4362eb0e2e2b57aef74be02898ceb113b3815648462b571b1e579a,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_1_demo_025_attempt_022.xml,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a,b5a829d05df42e677f6f350a65d4285237fc0b4d5135c459f2d984ed647bd85a,0cffb18e8377e6dbf9c0c5632dfa8d390f4f38cb86e0cf2a8d85b14b1a0ed8f1
v1r_2k_trainfit_l2_demo_27,2,demo_27,0,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_027_attempt_024.npz,7e9607c5e5281cece1e92cc92bf78adf80076259f1d65b77f8b9e43d27e726d3,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_2.pkl,356f27f6f18313d469c3b4e96b1dde5df5e01b62fba79b1bdc143764c39678fe,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_027_attempt_024.xml,3abb7fb5e0738347d4db7dcf4172f737696399a5bbfa248c241c55b59ca768fb,38582040c9bf0e1957ef033aac0c4fefe5ad42625ba163394aa773071d156d9d,3a43b22617e0a5dc1e3cbd9061746e0d9429a4e4541476d3f8b52bcc8f56681c
v1r_2k_trainfit_l2_demo_32,2,demo_32,1,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_032_attempt_025.npz,2235d0f7e4cc51712e432432f9c5a7b22e6e136d3358662b7ce75fef24792044,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_2.pkl,356f27f6f18313d469c3b4e96b1dde5df5e01b62fba79b1bdc143764c39678fe,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_032_attempt_025.xml,3abb7fb5e0738347d4db7dcf4172f737696399a5bbfa248c241c55b59ca768fb,820471ae9cc894ff2b81712c27a2d5df85596ccf6130e7c0b17cd35cda661d01,6273557def89e3b6436760ec1d92c51c3413700ee1a7f1e93f1ce703a428f80c
v1r_2k_trainfit_l2_demo_33,2,demo_33,2,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_033_attempt_026.npz,162e8ad1f4c3aa1eccd594254d2bae8cff7cfdd0d70ead87f6ed0664b37e9c18,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_2.pkl,356f27f6f18313d469c3b4e96b1dde5df5e01b62fba79b1bdc143764c39678fe,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_033_attempt_026.xml,3abb7fb5e0738347d4db7dcf4172f737696399a5bbfa248c241c55b59ca768fb,0f8af70444b00d7c368442f7d2d2848d8d4808c0ce05bb48279461d41924ef17,c72455636f4fb773ece2b44c5923e06b54df2b13e9b61720b5de8cf0c66d86d7
v1r_2k_trainfit_l2_demo_59,2,demo_59,3,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_059_attempt_028.npz,40ab69444ea23f0642b9a9c70787f5505c91ca1604c831bfcf5233abda8075bf,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_2.pkl,356f27f6f18313d469c3b4e96b1dde5df5e01b62fba79b1bdc143764c39678fe,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_059_attempt_028.xml,3abb7fb5e0738347d4db7dcf4172f737696399a5bbfa248c241c55b59ca768fb,c2b01a12915d1cca3c858eb6b9891129796e244830674cfd1d171e72770c24b4,44a682e3312108887e906beb0a3248cf67ae6b106aca501f1fa2b7d33c29542d
v1r_2k_trainfit_l2_demo_73,2,demo_73,4,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_073_attempt_031.npz,136eb63586043806a7e497960b38dfc66dc5276a1e44b984000944639dcb4c76,outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_2.pkl,356f27f6f18313d469c3b4e96b1dde5df5e01b62fba79b1bdc143764c39678fe,outputs/v1r/sequential_success_demos_2k_quantized_at_source/layout_2_demo_073_attempt_031.xml,3abb7fb5e0738347d4db7dcf4172f737696399a5bbfa248c241c55b59ca768fb,e7109d5eaa0beb8892e293878fac7b3ef0deb37d7a90ed53cf77faea32be40cc,fb13c896ab87b783ce1add0ebd400a12fcaf95c2c7edaa2fd665327fd88f749c
