path,size_bytes,artifact_type,status,layout,episode_count,sha256,ordered_episode_keys_sha256,aggregate_object_template_hash_list_sha256,ordered_episode_mapping_sha256,manifest_sha256,verification_sha256,patch_0005_sha256,patch_0006_sha256,description
outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_1.pkl,3021252,training_dataset,current,1,5,d6798e425b4362eb0e2e2b57aef74be02898ceb113b3815648462b571b1e579a,91e25f854ab3f951cf14edb8789a3c708e6f3581ec787cd6b8bb2ce2e6d6f55d,c457dc7c216f3cde090f8a692f3fed937208acdcdd7ceada3443f1d5342d87b7,e16374fbf4b5e4dde80bcdf2de213507a2b47bec90474136e0fa22de95e62934,761254629727b0035a794f86fc7ceca6f2e5fb429282d5259f37a53ad7c39c5e,e7294ca0b6ee74fbb30ff10b75b459b27118f74247510a182eac0647e9de2884,3505305352152606f2545be6524e2a67aad04099c1c7549ffecd4372c4bccdfa,626ba034dd64e0690450b0e94e8a189552c3248c6ffc0fea2cd77a2bdf3c5b2e,Corrected layout-1 Point Bridge PKL for the balanced 20-episode seed-0 pilot
outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_2.pkl,2772468,training_dataset,current,2,5,356f27f6f18313d469c3b4e96b1dde5df5e01b62fba79b1bdc143764c39678fe,acdb05cb4409aa67ccdd56d0cdc6e04d846567637fb4355670c903871e501c42,6954c093b33b3c4cb52bab8152aea2adbeb6e82656f7a6cc6c1eefff28db459f,e16374fbf4b5e4dde80bcdf2de213507a2b47bec90474136e0fa22de95e62934,761254629727b0035a794f86fc7ceca6f2e5fb429282d5259f37a53ad7c39c5e,e7294ca0b6ee74fbb30ff10b75b459b27118f74247510a182eac0647e9de2884,3505305352152606f2545be6524e2a67aad04099c1c7549ffecd4372c4bccdfa,626ba034dd64e0690450b0e94e8a189552c3248c6ffc0fea2cd77a2bdf3c5b2e,Corrected layout-2 Point Bridge PKL for the balanced 20-episode seed-0 pilot
outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_3.pkl,2844036,training_dataset,current,3,5,70a492e05cba66b8e4c7cebc59b5289bfe47e0da2af829c2c8deb5ffb6e91d9b,9d357daf0550a3cab39787590682059489b6d22219b0747813710a083dfab0e8,c9d06b48b5185cca811c6e473a31bc044beef385d86aa57984265f5fc7cb94a8,e16374fbf4b5e4dde80bcdf2de213507a2b47bec90474136e0fa22de95e62934,761254629727b0035a794f86fc7ceca6f2e5fb429282d5259f37a53ad7c39c5e,e7294ca0b6ee74fbb30ff10b75b459b27118f74247510a182eac0647e9de2884,3505305352152606f2545be6524e2a67aad04099c1c7549ffecd4372c4bccdfa,626ba034dd64e0690450b0e94e8a189552c3248c6ffc0fea2cd77a2bdf3c5b2e,Corrected layout-3 Point Bridge PKL for the balanced 20-episode seed-0 pilot
outputs/v1r/b1_2k_point_pkls_f/bowl_on_plate_4.pkl,2850852,training_dataset,current,4,5,daf59d2ceca1a67c1db76f32d37f7fc05b3bd2d459e9eee91b19b8c04e2d7c6a,178100f8fea0bc98f04e95506dd8907a8fc56bafaa7a83f20814e4dd6e5771b3,ce764450910da22e367ebb49bf5d575f0e00261a2eb0bef9530b46fd76ca9385,e16374fbf4b5e4dde80bcdf2de213507a2b47bec90474136e0fa22de95e62934,761254629727b0035a794f86fc7ceca6f2e5fb429282d5259f37a53ad7c39c5e,e7294ca0b6ee74fbb30ff10b75b459b27118f74247510a182eac0647e9de2884,3505305352152606f2545be6524e2a67aad04099c1c7549ffecd4372c4bccdfa,626ba034dd64e0690450b0e94e8a189552c3248c6ffc0fea2cd77a2bdf3c5b2e,Corrected layout-4 Point Bridge PKL for the balanced 20-episode seed-0 pilot
outputs/v1r/b1_2k_point_pkls_f/manifest.json,10740,dataset_manifest,current,,20,761254629727b0035a794f86fc7ceca6f2e5fb429282d5259f37a53ad7c39c5e,,,e16374fbf4b5e4dde80bcdf2de213507a2b47bec90474136e0fa22de95e62934,761254629727b0035a794f86fc7ceca6f2e5fb429282d5259f37a53ad7c39c5e,e7294ca0b6ee74fbb30ff10b75b459b27118f74247510a182eac0647e9de2884,3505305352152606f2545be6524e2a67aad04099c1c7549ffecd4372c4bccdfa,626ba034dd64e0690450b0e94e8a189552c3248c6ffc0fea2cd77a2bdf3c5b2e,Ordered source mapping and per-episode fixed-template identities
outputs/v1r/b1_2k_point_pkls_f/verification.json,1022,dataset_verification,current,,20,e7294ca0b6ee74fbb30ff10b75b459b27118f74247510a182eac0647e9de2884,,,e16374fbf4b5e4dde80bcdf2de213507a2b47bec90474136e0fa22de95e62934,761254629727b0035a794f86fc7ceca6f2e5fb429282d5259f37a53ad7c39c5e,e7294ca0b6ee74fbb30ff10b75b459b27118f74247510a182eac0647e9de2884,3505305352152606f2545be6524e2a67aad04099c1c7549ffecd4372c4bccdfa,626ba034dd64e0690450b0e94e8a189552c3248c6ffc0fea2cd77a2bdf3c5b2e,V1-R.2K.3-F point-observation and real chunking gate result
outputs/v1r/b1_2k_point_pkls/bowl_on_plate_1.pkl,3005443,training_dataset,superseded_point_observation_mismatch,1,5,4102a47fc0c056101d55a4475d963a9ea7f6e4710e7c6247adcf1693dfb2568e,,,,,,,,Historical layout-1 PKL with open-gripper robot points and per-frame object resampling
outputs/v1r/b1_2k_point_pkls/bowl_on_plate_2.pkl,2756659,training_dataset,superseded_point_observation_mismatch,2,5,b8213a5835a9fd020574033de1fb314af913a77a0c990ea8957b130421ffc86b,,,,,,,,Historical layout-2 PKL with open-gripper robot points and per-frame object resampling
outputs/v1r/b1_2k_point_pkls/bowl_on_plate_3.pkl,2828227,training_dataset,superseded_point_observation_mismatch,3,5,1441902db654fe3d7713a7dfad6bd240b0b74e191480889b384d31643812d07e,,,,,,,,Historical layout-3 PKL with open-gripper robot points and per-frame object resampling
outputs/v1r/b1_2k_point_pkls/bowl_on_plate_4.pkl,2835043,training_dataset,superseded_point_observation_mismatch,4,5,620a1b3c428908cc627c138f6b6e36b90e8fc53aed7587e5d9ff93c85a30ff49,,,,,,,,Historical layout-4 PKL with open-gripper robot points and per-frame object resampling
