scenario_id,layout,simulator_seed,initial_state_key,source_old_success,source_old_initial_state_sha256,state_path,state_sha256,restored_state_sha256,state_file_sha256,state_length,object_point_keys,checkpoint_sha256,upstream_git_revision,repo_git_revision
pb_bowl_s0_001,2,3406851539,pb_bowl_s0_001_state,1,bb860bba85f2e81e299f9e7651ebb531897d80a36d048f6ec4242cd4ab18203c,outputs/v1r/state_store/pb_bowl_s0_001.npz,69bcc339f4a8162a8c088de45987278dfe431ce289d1d95fd9844ebb5038373d,69bcc339f4a8162a8c088de45987278dfe431ce289d1d95fd9844ebb5038373d,cf2b73b0d455e0d039d4eb3f9eddf86b6bbeba725e6e4d0d8fc1bcb7373ace24,45,bowl_main;plate_main,46c8619a39e816e0d82a627e6b68c725b5e63ee3c57afb47c3897eab2510c7c7,5d567a62d62b5a97c5960d45024e065349680cda,b36d848c5356d413c08dec1c7020401f6576d70f
pb_bowl_s0_006,3,1752719105,pb_bowl_s0_006_state,1,a7fc7fe5f0ba29823bdcfba36e0243d91d961033ee377ee760aaf777834cd633,outputs/v1r/state_store/pb_bowl_s0_006.npz,938b1b9c8c81edbe2b4c89322320783b46a47c53cef7a3e580d84cbfefcbc905,938b1b9c8c81edbe2b4c89322320783b46a47c53cef7a3e580d84cbfefcbc905,39f975e9c3c24d74bfbd639e993c753d5b90d8c2aa59708dff63eb847b601367,45,bowl_main;plate_main,46c8619a39e816e0d82a627e6b68c725b5e63ee3c57afb47c3897eab2510c7c7,5d567a62d62b5a97c5960d45024e065349680cda,b36d848c5356d413c08dec1c7020401f6576d70f
pb_bowl_s0_009,2,3345367047,pb_bowl_s0_009_state,1,9ba676ccafe4257eefffff99b9570d65e6da661d9ce7d57167ed93d2ba0fcb51,outputs/v1r/state_store/pb_bowl_s0_009.npz,eeafe21bb8cd6d6c3140704315be91e8853d0a5e3aa2528278accf295b63597f,3f023b16a58d2fea28a4627d6c98b944a401d95541f619e13aac5e427b086f46,f55fda8989922de6aaf1e9ab73426708ae273f28c0ba860510e005d40257e538,45,bowl_main;plate_main,46c8619a39e816e0d82a627e6b68c725b5e63ee3c57afb47c3897eab2510c7c7,5d567a62d62b5a97c5960d45024e065349680cda,b36d848c5356d413c08dec1c7020401f6576d70f
pb_bowl_s0_013,2,3494159725,pb_bowl_s0_013_state,1,cc585170b16b73c061b0e85fc793e900a25756a8be6aa180d9a0a9f201b50106,outputs/v1r/state_store/pb_bowl_s0_013.npz,163985a2f103f897400212c57cd28f0f716d60483ddbacc4c1a2bec8d7785538,163985a2f103f897400212c57cd28f0f716d60483ddbacc4c1a2bec8d7785538,b6dbed4b88dd6ef23dc5d13efb3b68fc2c63cc7f32d1eb957143feb480256feb,45,bowl_main;plate_main,46c8619a39e816e0d82a627e6b68c725b5e63ee3c57afb47c3897eab2510c7c7,5d567a62d62b5a97c5960d45024e065349680cda,b36d848c5356d413c08dec1c7020401f6576d70f
pb_bowl_s0_017,2,630365780,pb_bowl_s0_017_state,1,02826cc6b4104353a94c851db0a94450f6d630d9c3632315cbcdf1f50f0a5341,outputs/v1r/state_store/pb_bowl_s0_017.npz,414cdcfae4baa3d31cd465be522db2d987155a097eef88ef7036fc9698e31a7d,414cdcfae4baa3d31cd465be522db2d987155a097eef88ef7036fc9698e31a7d,a5f8e160d5f6b4dc482cdd2d97e68a1d07456d528dead2f30c4dd629b0447c3d,45,bowl_main;plate_main,46c8619a39e816e0d82a627e6b68c725b5e63ee3c57afb47c3897eab2510c7c7,5d567a62d62b5a97c5960d45024e065349680cda,b36d848c5356d413c08dec1c7020401f6576d70f
pb_bowl_s0_000,1,4173202280,pb_bowl_s0_000_state,0,9920bcaff8f22d2826a05f084fbca4ac75af45f8c334a0778eb5c556e8d691cc,outputs/v1r/state_store/pb_bowl_s0_000.npz,6fce7acd5aeaf24679add29262bcd8333f6cc5ac4264a984f24ee32d14e7c7f8,4e040fa788492b285cba61d75ddb43f6a307cf9cf9e4e45a168a15ce37065d17,abfe065b465ff55942ca0f173ecef2e3488cb8f292acec6c798661696e0c290a,45,bowl_main;plate_main,46c8619a39e816e0d82a627e6b68c725b5e63ee3c57afb47c3897eab2510c7c7,5d567a62d62b5a97c5960d45024e065349680cda,b36d848c5356d413c08dec1c7020401f6576d70f
pb_bowl_s0_002,3,203271036,pb_bowl_s0_002_state,0,8d503cb11b6bf40ca7d3a5d82bd167831c778bcbb1f9510becf375ac5297921b,outputs/v1r/state_store/pb_bowl_s0_002.npz,f81c389f95451eade69dc381d5e3b6d08160471663b4301c33e2a1e28705cc36,f81c389f95451eade69dc381d5e3b6d08160471663b4301c33e2a1e28705cc36,31379d4845420c24b9c0dcf1f1c16cb7a1c3a2957808abb272c7267a982760aa,45,bowl_main;plate_main,46c8619a39e816e0d82a627e6b68c725b5e63ee3c57afb47c3897eab2510c7c7,5d567a62d62b5a97c5960d45024e065349680cda,b36d848c5356d413c08dec1c7020401f6576d70f
pb_bowl_s0_003,4,1883691711,pb_bowl_s0_003_state,0,23fbf33eada58029ea46022fe5b882a3263ff60ec100f3ef3c653a9fe1c4e90b,outputs/v1r/state_store/pb_bowl_s0_003.npz,4089024a0daf8cc51eb0c4f26de11fac03d0dbe39064fdf88330389779c434ee,4089024a0daf8cc51eb0c4f26de11fac03d0dbe39064fdf88330389779c434ee,9088b6110f0d04c0f7aee451db860a0e762fe60ca48846a1532e80e35bd02dcb,45,bowl_main;plate_main,46c8619a39e816e0d82a627e6b68c725b5e63ee3c57afb47c3897eab2510c7c7,5d567a62d62b5a97c5960d45024e065349680cda,b36d848c5356d413c08dec1c7020401f6576d70f
pb_bowl_s0_004,1,956555592,pb_bowl_s0_004_state,0,f5971791a0bf248931018c0f4a3b33f0e515f6ec5b5d5986c8d342c02536a94f,outputs/v1r/state_store/pb_bowl_s0_004.npz,2d273a654887f170adeca193129bc79cd6cb7d2eb8958d477bdc9e8eb2f7bd27,2d273a654887f170adeca193129bc79cd6cb7d2eb8958d477bdc9e8eb2f7bd27,d6e3313d0b2f48efa0776f2e64fd9cd232a776b761bde448db95f5670864d711,45,bowl_main;plate_main,46c8619a39e816e0d82a627e6b68c725b5e63ee3c57afb47c3897eab2510c7c7,5d567a62d62b5a97c5960d45024e065349680cda,b36d848c5356d413c08dec1c7020401f6576d70f
pb_bowl_s0_005,2,4145884050,pb_bowl_s0_005_state,0,a1dd03b9a2f94dcf81e2c6f6d1e36196f432914543dffa96a55e19a49503eb82,outputs/v1r/state_store/pb_bowl_s0_005.npz,5f4c9989dc4e0e88d473a1c932ce63c0b18d39a08b9d890742ea616021ab9a3e,5f4c9989dc4e0e88d473a1c932ce63c0b18d39a08b9d890742ea616021ab9a3e,a1b97b39c2e3bab0dcf0da353c3a908922b47ba914148d479123799a0aef48ba,45,bowl_main;plate_main,46c8619a39e816e0d82a627e6b68c725b5e63ee3c57afb47c3897eab2510c7c7,5d567a62d62b5a97c5960d45024e065349680cda,b36d848c5356d413c08dec1c7020401f6576d70f
