training_seed,base_scenario_id,layout,phase,task,simulator_seed,initial_state_key,fixed_object_point_identity_key,occlusion_start_step,control_hz,nominal_hidden_fraction,occlusion_phase,occlusion_target,occluder_type,mask_schedule_key,split,branch,oracle,occlusion_duration_steps,occlusion_duration_seconds
0,v1r_vis_s0_l1_pregrasp_static_00,1,pregrasp_static,bowl_on_plate,525930267,v1r_vis_s0_l1_pregrasp_static_00_state,v1r_vis_s0_l1_pregrasp_static_00_points128,25,20,0.6,pregrasp_static,primary_task_object,precomputed_reference_mask_sequence,mask_0_1_pregrasp_static_00,test,E00_CLEAN,False,0,0.0
0,v1r_vis_s0_l1_pregrasp_static_00,1,pregrasp_static,bowl_on_plate,525930267,v1r_vis_s0_l1_pregrasp_static_00_state,v1r_vis_s0_l1_pregrasp_static_00_points128,25,20,0.6,pregrasp_static,primary_task_object,precomputed_reference_mask_sequence,mask_0_1_pregrasp_static_00,test,E10,False,5,0.25
0,v1r_vis_s0_l1_pregrasp_static_00,1,pregrasp_static,bowl_on_plate,525930267,v1r_vis_s0_l1_pregrasp_static_00_state,v1r_vis_s0_l1_pregrasp_static_00_points128,25,20,0.6,pregrasp_static,primary_task_object,precomputed_reference_mask_sequence,mask_0_1_pregrasp_static_00,test,E10_ORACLE_HIDDEN_GT,True,5,0.25
0,v1r_vis_s0_l1_pregrasp_static_00,1,pregrasp_static,bowl_on_plate,525930267,v1r_vis_s0_l1_pregrasp_static_00_state,v1r_vis_s0_l1_pregrasp_static_00_points128,25,20,0.6,pregrasp_static,primary_task_object,precomputed_reference_mask_sequence,mask_0_1_pregrasp_static_00,test,E10,False,10,0.5
0,v1r_vis_s0_l1_pregrasp_static_00,1,pregrasp_static,bowl_on_plate,525930267,v1r_vis_s0_l1_pregrasp_static_00_state,v1r_vis_s0_l1_pregrasp_static_00_points128,25,20,0.6,pregrasp_static,primary_task_object,precomputed_reference_mask_sequence,mask_0_1_pregrasp_static_00,test,E10_ORACLE_HIDDEN_GT,True,10,0.5
0,v1r_vis_s0_l1_pregrasp_static_00,1,pregrasp_static,bowl_on_plate,525930267,v1r_vis_s0_l1_pregrasp_static_00_state,v1r_vis_s0_l1_pregrasp_static_00_points128,25,20,0.6,pregrasp_static,primary_task_object,precomputed_reference_mask_sequence,mask_0_1_pregrasp_static_00,test,E10,False,20,1.0
0,v1r_vis_s0_l1_pregrasp_static_00,1,pregrasp_static,bowl_on_plate,525930267,v1r_vis_s0_l1_pregrasp_static_00_state,v1r_vis_s0_l1_pregrasp_static_00_points128,25,20,0.6,pregrasp_static,primary_task_object,precomputed_reference_mask_sequence,mask_0_1_pregrasp_static_00,test,E10_ORACLE_HIDDEN_GT,True,20,1.0
0,v1r_vis_s0_l1_pregrasp_static_01,1,pregrasp_static,bowl_on_plate,1060189793,v1r_vis_s0_l1_pregrasp_static_01_state,v1r_vis_s0_l1_pregrasp_static_01_points128,30,20,0.6,pregrasp_static,primary_task_object,precomputed_reference_mask_sequence,mask_0_1_pregrasp_static_01,test,E00_CLEAN,False,0,0.0
0,v1r_vis_s0_l1_pregrasp_static_01,1,pregrasp_static,bowl_on_plate,1060189793,v1r_vis_s0_l1_pregrasp_static_01_state,v1r_vis_s0_l1_pregrasp_static_01_points128,30,20,0.6,pregrasp_static,primary_task_object,precomputed_reference_mask_sequence,mask_0_1_pregrasp_static_01,test,E10,False,5,0.25
0,v1r_vis_s0_l1_pregrasp_static_01,1,pregrasp_static,bowl_on_plate,1060189793,v1r_vis_s0_l1_pregrasp_static_01_state,v1r_vis_s0_l1_pregrasp_static_01_points128,30,20,0.6,pregrasp_static,primary_task_object,precomputed_reference_mask_sequence,mask_0_1_pregrasp_static_01,test,E10_ORACLE_HIDDEN_GT,True,5,0.25
0,v1r_vis_s0_l1_pregrasp_static_01,1,pregrasp_static,bowl_on_plate,1060189793,v1r_vis_s0_l1_pregrasp_static_01_state,v1r_vis_s0_l1_pregrasp_static_01_points128,30,20,0.6,pregrasp_static,primary_task_object,precomputed_reference_mask_sequence,mask_0_1_pregrasp_static_01,test,E10,False,10,0.5
